movie_id,title,component_score,tfidf_norm,keyword_count,genre_count,overview_word_count,overview_char_length,title_char_length,scaled_tfidf_norm,scaled_keyword_count,scaled_genre_count,scaled_overview_word_count,scaled_overview_char_length,scaled_title_char_length,genres_list,keywords_list
17130,Crossroads,54.90283740341919,0.9999999999999996,3.4339872044851463,7,5.049856007249537,6.679599185844383,2.3978952727983707,0.0,0.7042565724979142,0.9999999999999999,0.9766698846946679,0.9668311293727014,0.4254071257465282,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Music', 'Romance']","['dancing', 'women', 'sex', 'karaoke', 'dream', 'pop singer', 'virgin', 'motel', 'graduation', 'kiss', 'friendship', 'high school', 'road trip', 'unfaithful boyfriend', 'hospital', 'singing', 'teenager', 'girl', 'rebellious daughter', 'on the road', 'father daughter relationship', 'chick flick', 'pop music', 'audition', 'teenage pregnancy', 'mother daughter estrangement', 'implied rape', 'woman director', 'journey', 'song writing']"
4723,Southland Tales,52.73516303212939,0.9999999999999997,4.110873864173311,6,4.204692619390966,5.981414211254481,2.772588722239781,1.1102230246251565e-16,0.8781820386908871,0.8333333333333334,0.8132106439988971,0.8657731244366651,0.5189090713352313,"['Action', 'Adventure', 'Comedy', 'Drama', 'Science Fiction', 'Thriller']","['suicide', 'brother brother relationship', 'spy', 'prophecy', 'middle east', 'screenwriter', 'terrorist', 'wife husband relationship', 'nevada', 'amnesia', 'allegory', 'mass murder', 'kidnapping', 'blackmail', 'riot', 'evacuation', 'afghanistan', 'time travel', 'undercover agent', 'marxism', 'politics', 'politician', 'smuggling', 'twin brother', 'movie in movie', 'murder', 'surrealism', 'balloon', 'interracial relationship', 'anti conformity', 'end of the world', 'conspiracy', 'metaphysics', 'memory', 'search', 'dirty cop', 'apocalypse', 'los angeles', 'terrorism', 'paradox', 'cult film', 'doomsday', 'near future', 'alternate reality', 'split personality', 'big corporation', 'mother son relationship', 'no opening credits', 'north korea', 'doppelganger', 'government corruption', 'southern california', 'alternate timeline', 'karma', 'environmental issue', 'world war iii', 'mysterious past', 'absurdism', 'fourth dimension', 'santa monica california']"
205775,In the Heart of the Sea,50.07127976330157,0.9999999999999998,3.1354942159291497,5,4.844187086458591,6.612041034833092,3.1780538303479458,2.220446049250313e-16,0.6275590464839544,0.6666666666666666,0.9368923859173163,0.957052500203005,0.6200898540069479,"['Thriller', 'Drama', 'Adventure', 'Action', 'History']","['suicide', 'ocean', 'sea', 'hunger', 'shipwreck', 'ship', 'whale', 'based on true story', 'stranded', 'survival', 'whaling', 'death', 'new england', 'lost at sea', 'based on true events', 'whaling ship', 'starvation', '19th century', 'cannibalism', 'reference to moby dick', 'whale oil', 'nantucket']"
604,The Matrix Reloaded,49.57887529015939,1.0,3.295836866004329,4,5.075173815233827,6.805722553416985,2.995732273553991,4.440892098500626e-16,0.6687589575263583,0.5,0.9815664877996355,0.9850867154517176,0.5745928742534718,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['saving the world', 'artificial intelligence', 'man vs machine', 'martial arts', 'kung fu', 'underground world', 'dream', 'hero', 'fight', 'computer virus', 'key', 'future', 'plato', 'precognition', 'rave', 'dying and death', 'virtual reality', 'dystopia', 'computer', 'faith', 'world religion', 'truth', 'mission', 'cyberpunk', 'woman director', 'gnosticism']"
10185,The Midnight Meat Train,49.34062897804864,0.9999999999999999,2.6390573296152584,5,5.170483995038151,6.90875477931522,3.1780538303479458,3.3306690738754696e-16,0.4999999999999999,0.6666666666666666,0.9999999999999999,1.0,0.6200898540069479,"['Mystery', 'Drama', 'Crime', 'Thriller', 'Horror']","['photographer', 'butcher', 'vegetarian', 'midnight', 'blood splatter', 'gore', 'stalking', 'diner', 'decapitation', 'blood', 'violence', 'subway train', 'very little dialogue']"
3989,Team America: World Police,48.58340018943392,0.9999999999999998,3.1354942159291497,5,4.48863636973214,6.297109319933935,3.295836866004329,2.220446049250313e-16,0.6275590464839544,0.6666666666666666,0.8681269246824193,0.911468060610206,0.6494817289053039,"['Music', 'Adventure', 'Animation', 'Action', 'Comedy']","['paris', 'france', 'cairo', 'capitalism', 'loss of lover', 'egypt', 'war against terror', 'shotgun', 'patriotism', 'pentagon', 'american dream', 'destroy', 'shipwreck', 'louvre', 'american  way of life', 'failure', 'panama', 'damage', 'government', 'eiffel tower paris', 'world politics', 'mass destruction']"
10017,The Wraith,48.43087824415061,0.9999999999999998,3.4657359027997265,5,4.454347296253507,6.302618975744905,2.3978952727983707,2.220446049250313e-16,0.7124143742160443,0.6666666666666666,0.861495229562284,0.9122655495915005,0.4254071257465282,"['Romance', 'Science Fiction', 'Horror', 'Action', 'Crime']","['male nudity', 'female nudity', 'sex', 'killing', 'sheriff', 'car race', 'cemetery', 'shotgun', 'arizona', 'nudity', 'reincarnation', 'police', 'auto-tuning', 'street race', 'revenge', 'murder', 'car crash', 'alien', 'independent film', 'gang', 'motorcycle', 'violence', 'car chase', 'cult film', 'ghost', 'road movie', 'drag racing', 'roller skates', 'strange person', 'budweiser', 'turbo intercepter']"
82702,How to Train Your Dragon 2,48.38184980662502,1.0,2.4849066497880004,6,4.663439094112067,6.434546518787453,3.295836866004329,4.440892098500626e-16,0.46039111058080084,0.8333333333333334,0.9019347315623315,0.9313612545711502,0.6494817289053039,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']","['father son relationship', 'wife husband relationship', 'sacrifice', 'viking', 'sequel', 'rescue', 'dragon', 'mother son relationship', 'death of husband', 'warrior', '3d']"
5503,The Fugitive,47.44947044806226,1.0,3.332204510175204,5,4.356708826689592,6.0844994130751715,2.5649493574615367,4.440892098500626e-16,0.678103593554011,0.6666666666666666,0.8426114133358699,0.8806940769257197,0.46709422211245594,"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']","['chicago', 'showdown', 'undercover', 'surgeon', 'death sentence', 'doomed man', 'lethal injection', 'chase', 'remake', 'betrayal', 'on the run', 'train crash', 'escape', 'fugitive', 'based on tv series', 'u.s. marshal', 'doctor', 'explosion', 'home invasion', 'disguise', 'one armed man', 'framed for murder', 'flashback', 'corrupt cop', 'manhunt', 'bus accident', 'storm drain']"
36648,Blade: Trinity,47.31959714202182,1.0,2.772588722239781,6,4.394449154672439,6.137727054086234,2.70805020110221,4.440892098500626e-16,0.5343107806620332,0.8333333333333334,0.8499106000307837,0.8883984524190323,0.5028039664801112,"['Science Fiction', 'Action', 'Horror', 'Thriller', 'Adventure', 'Fantasy']","['fbi', 'dracula', 'fistfight', 'vampire hunter', 'superhero', 'based on comic book', 'martial arts master', 'motorcycle', 'katana sword', 'blade', 'loss of friend', 'super villain', 'vampire slayer', 'fast motion scene', 'female vampire']"
